"순번","자치구","거리","소요시간","추천수","연계지하철역","연계코스","연계공원","교통편","상세코스","설명","코스명","코스대분류","강남강북구분","코스레벨"
"25","서초구","5.69Km","2시간","0","신분당선","","","진입로 1 : 양재시민의숲역 신분당선 5번 출구<br /> 진입로 2 : 양재2동주민센터양재꽃시장 버스 정류장(22-293) 일반 917, 11-3, 11-7, 500-5 간선 400, 140, 440, 441, 470, 471, 407, 408, 462, 421, 405 지선 4432, 8441 마을 서초20<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","양재시민의숲 인근~세원마을 인근~청룡경로당회관 인근~넘말골 인근","탄천, 양재시민의숲과 같이 있어 이용하는 사람들이 많다. 하지만 상류는 정비가 되어 있지 않다","여의천","한강지천길/계절길","강남권","초급"
"11","마포구","13.07Km","4시간","0","5호선,6호선","","","진입로 1 : 월드컵경기장 지하철 6호선 1번 출구<br /> 진입로 2 : 마포역 지하철 5호선 4번 출구<br /> 진입로 3 : 난지한강공원 버스 정류장(13-331) 광역버스 9707<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","난지물재생센터 인근~한강수변 인근~패쇄형늪지 인근~난지한강공원 인근~상암선착장 인근~망원초록길 인근~한강시민공원망원지구 인근~강변북로 인근~서강대교 강변북로 인근~마포대교 인근","난지한강공원과 한강시민공원 망원지구를 가로지르는 걷기 좋은 한강 코스. <br /> <div class='table_css'> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' scope='col' class='end'>세부코스</th> 		  <th scope='col' >거리(km)</th> 		  <th scope='col' >소요시간</th> 		  <th scope='col' >비고</th> 	  </tr> 	<tr> 		<td rowspan='3' class='end'>마포한강길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>6.76</td> 		  <td>2시간 10분</td> 		  <td>난지물재생센터 인근~월드컵경기장역</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>6.31</td> 		  <td>1시간 50분</td> 		  <td>상암선착장 인근(월드컵경기장역)~마포대교 인근(마포역)</td> 	</tr> 	 </table> </div>","마포한강길","한강지천길/계절길","강북권","초급"
"12","강동구","3.98Km","1시간 30분","0","5호선","","","진입로 1 : 강일리버파크1단지 정문 버스 정류장 마을 강동02 <br />  - 상일동역 지하철 5호선 3번 출구 강동02 탑승 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","공동주택 인근~강동중학교 인근~강일리버파크2단지 인근~강일리버파크1단지 인근","강동구와 하남시를 통과하는 하천길로 주변 아파트 주민들이 산책길로 이용한다<br /> ※공동주택 이전 동쪽방향 구간은 도보가 불가능하다","망월천길","한강지천길/계절길","강남권","초급"
"13","구로구,양천구","3.71Km","1시간","0","7호선","","","진입로 : 철산교앞 버스 정류장 마을 구로04 <br />  - 천왕역 지하철 7호선 1번 출구에서 구로04 탑승 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","목감천공영무료주차장 인근~개봉3동주민센터 인근~개명초등학교 인근~광일초등학교 인근","안양천과 합쳐지는 작은 하천으로 인근 주민들과 자전거를 즐기는 사람들이 찾는 코스이다","목감천","한강지천길/계절길","강남권","초급"
"14","노원구","3.96Km","1시간30분","0","6호선,7호선","","","진입로 1 : 태릉입구역 지하철 6, 7호선 7번 출구<br /> 진입로 2 : 화랑대역 지하철 6호선 4번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","한국아파트 인근~브라운스톤태릉아파트 인근~태릉고등학교 인근~중랑소방서 인근~서울메디컬타워 인근~육사아파트 인근~육사체육관 인근","노원구와 중랑구를 통과하는 하천길로 지하철역과 주변 아파트로 인해 접근성이 좋아 인근 주민들이 많이 이용한다","묵동천길","한강지천길/계절길","강북권","초급"
"15","서초구","2.57Km","1시간","0","3호선,4호선,7호선,9호선","","","진입로 1 : 동작역 지하철 4, 9호선 1번 출구<br /> 진입로 2 : 고속터미널역 지하철 3, 7, 9호선 5번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","동작역 인근~구반포역 인근~반포주공아파트 인근~반포종합운동장 인근~고속터미널역 인근","교통편이 좋아 접근성이 좋고, 인근 아파트 단지가 밀집되어 있어 사람들이 산책하는 코스로 많이 이용되고 있다","반포천","한강지천길/계절길","강남권","초급"
"16","강북구,도봉구","1.89Km","40분","0","1호선","","","진입로 1 : 방학역 지하철 1호선 3번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","벽산1차아파트 인근~제일시장 인근~정병원빌딩 인근~동아엔지니어링 인근","북한산에서 흘러 내려와서 중랑천으로 합쳐지는 하천으로 산책로 코스임","방학천길","한강지천길/계절길","강북권","초급"
"17","마포구","4.43Km","2시간","0","6호선","","","진입로 1 : 응암역 지하철 6호선 4번 출구<br /> 진입로 2 : 마포구청역 지하철 6호선 1번 출구<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","응암역 인근~세절역 인근~중산역 인근~디지털미디어시티역 인근~월드컵경기장역 인근~마포구청역 인근","도심에서 만난 불광천이 한강에 닿을 때까지 함께 걷는 길","불광천길","한강지천길/계절길","강북권","초급"
"18","송파구","5.49Km","2시간","0","5호선,8호선","","","진입로 1 : 아산병원정문앞 버스 정류장(24-430) 지선버스 4318<br />   - 천호역 지하철 5, 8호선 9번 출구 천호역,풍납시장 버스정류장에서 지선 4318 탑승  가능<br /> 진입로 2 : 올림픽공원역 지하철 5호선<br /> 진입로 3 : 강동구청역, 몽촌토성역 지하철 8호선 도보로 올림픽공원 접근 가능<br /> 진입로 4(경로 끝) : 아남아파트 인근을 지나 성내천 끝 청암노인요양원 24-298 지선 3318, 3316, 3315, 3416, 3214<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","아산병원 인근~풍납중학교 인근~몽촌토성 인근~올림픽수영장 인근~오륜주민센터 인근~오륜사거리 인근~아남아파트 인근","몽촌토성, 올림픽공원이라는 문화시설과 지하철, 버스 등 접근성이 뛰어나다","성내천길","한강지천길/계절길","강남권","초급"
"19","광진구,성동구","12.84Km","4시간","0","3호선,7호선,중앙선","","","진입로 1 : 옥수역 지하철 3호선, 중앙선 한강공원방면 출구<br /> 진입로 2 : 뚝섬유원지역 지하철 7호선<br /> 진입로 3(경로 끝) : 우미내검문소.고구려대장간마을 버스 정류장(22-007) 일반 96, 95, 92, 93, 1-2, 1-1, 15, 2000-1, 2000-3, 1, 1-4, 23, 9, 91, 97 직행 11, 1660, 100<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","옥수역 인근~서울숲 인근~영동대교 인근~뚝섬유원지 인근~뚝섬유원지, 잠실대교 인근~동서울터미널 인근~올림픽대교, 강변북로 인근~쉐라톤워커힐호텔 인근","서울숲과 뚝섬한강공원을 경유하며 한강변을 따라 걷는 코스. <br />  <div class='table_css'> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='3' class='end'>성동광진구한강길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>6.23</td> 		  <td>1시간 50분</td> 		  <td>옥수역 인근~뚝섬유원지 인근(뚝섬유원지역)</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>6.61</td> 		  <td>2시간 10분</td> 		  <td>뚝섬유원지 인근(뚝섬유원지역)~쉐라톤워커힐 호텔 인근</td> 	</tr> 	 </table> </div>","성동광진구한강길","한강지천길/계절길","강북권","초급"
"20","성북구","3.62Km","1시간","0","1호선,2호선,4호선","","","진입로 1 : 신설동역 지하철 1, 2호선 4번 출구<br /> 진입로 2 : 한성대입구역 지하철 4호선 2번 출구<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","안암동주민센터 인근~우진 밧데리 인근~성북교통정보센터 인근~동소문로2길 인근","서울의 북악산의 동쪽에서 발원하여 남쪽으로 흘러 동대문구 신설동에서 청계천과 합류","성북천길","한강지천길/계절길","강북권","초급"
"21","강남구","3.70Km","1시간","0","3호선,분당선","","","진입로 1 : 세곡동사거리 버스 정류장(23-415) 버스 101.57.2412.1007<br /> 진입로 2 : 대왕파출소 버스 정류장 강남 06, 06-1<br /> - 수서역 지하철 3호선, 분당선 6번 출구에서 강남 06, 06-1 탑승 가능<br />  진입로 3(경로 끝) : 헌인마을 버스정류장 서초09 -> 강남역<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","삼일자동차운전전문학원 인근~대왕초등학교 인근~세곡리엔파크1단지 인근~강남세곡LH푸르지오~헌인릉 인근","하천 폭은 좁지만, 산책길 정비로 인근 거주자들이 많이 이용한다","세곡천","한강지천길/계절길","강남권","초급"
"22","송파구","17.98Km","5시간40분","0","2호선,8호선","","","진입로 1 : 종합운동장역 지하철 2호선<br /> 진입로 2 : 잠실나루역 지하철 2호선<br /> 진입로 3 : 암사역 지하철 8호선<br /> 진입로 4 : 미사리차고지 버스정류장(28-070) 일반1-4, 마을3<br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","잠실한강공원 인근~잠실대교 인근~한강공원광나루지구 인근~광나루자전거공원 인근~암사동선사주거지 인근~고덕천 인근~춘천고속도로 인근","봉화산 기슭에서 발원하여 중랑천 월릉교 부근으로 흘러들어가는 하천. <br />  <div class='table_css'> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' scope='col' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='4'  class='end'>송파강동한강길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>7.8</td> 		  <td>2시간 30분</td> 		  <td>잠실한강공원 인근(종합운동장역)~광나루자전거공원 인근(암사역)</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>5.35</td> 		  <td>1시간 40분</td> 		  <td>광나루자전거공원 인근(암사역)~고덕천교 인근</td> 	</tr> 	<tr> 	 	  <td>3</td> 		  <td>4.83</td> 		  <td>1시간 30분</td> 		  <td>고덕천교 인근(상일동역에서 고덕천을 따라 2.5KM도보이동)~미사리차고지</td> 	</tr> 	 </table> </div>","송파강동한강길","한강지천길/계절길","강남권","초급"
"23","영등포구","15.57Km","4시간30분","0","1호선,2호선,5호선","","","진입로 1 : 오목교역 지하철 5호선<br /> 진입로 2 : 도림천역 지하철 2호선<br /> 진입로 3 : 구일역 지하철 1호선<br /> 진입로 4 : 독산역 지하철 1호선<br /> 진입로 5 : 석수역 지하철 1호선<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","백골부대전적비 인근~목마공원 인근~목동종합운동장 인근~오목교 인근~오금사거리 인근~어린이교통공원 인근~구일역 인근~광명시청 인근~광명시청 인근~가산디지털단지 인근~독산역 인근~석수역 인근","공원조성이 잘되어있고, 인근 주거지역이 많아 주민들이 산책하는 길로 많이 이용한다. <br />  <div class='table_css'> <table cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2'  scope='col' class='end'>세부코스</th> 		  <th  scope='col'>거리(km)</th> 		  <th  scope='col'>소요시간</th> 		  <th  scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='4' class='end'>안양천길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>4.72</td> 		  <td>1시간 20분</td> 		  <td>백골부대전적비 인근(신목동역)~도림천역</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>6.6</td> 		  <td>2시간</td> 		  <td>도림천역 인근~독산역 인근</td> 	</tr> 	<tr> 	 	  <td>3</td> 		  <td>4.25</td> 		  <td>1시간 10분</td> 		  <td>독산역 인근~석수역 인근</td> 	</tr> 	 </table> </div>","안양천길","한강지천길/계절길","강남권","초급"
"24","강남구","9.53Km","3시간","0","3호선,분당선,신분당선","","","진입로 1 : 학여울역 지하철 3호선 1번 출구<br /> 진입로 2 : 대모산입구역 지하철 분당선 2번 출구<br /> 진입로 3 : 개포동역 지하철 분당선 3번 출구<br /> 진입로 4 : 도곡역 지하철 3호선, 분당선 3번 출구<br /> 진입로 5 : 양재역 지하철 3호선, 신분당선 8번 출구<br /> 진입로 6 : 양재시민의숲역 지하철 신분당선 1번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.  ","학여울역 인근~도곡역 인근~구룡초등학교 인근~양재시민의숲역 인근~양재1동주민센터 인근","서초구와 강남구를 거쳐 한강으로 흘러 들어가는 준용하천으로 인근 주민들의 운동과 산책공간으로 사랑받고 있다","양재천","한강지천길/계절길","강남권","초급"
"26","영등포구","21.1Km","8시간","0","1호선,2호선,9호선","","","진입로 1 : 선유도역 지하철 9호선<br /> 진입로 2 : 당산역 지하철 2, 9호선 4번 출구<br /> 진입로 3 : 대방역 지하철 1호선<br /> 진입로 4 : 흑석역 지하철 9호선 1번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","나이아가라관광호텔 인근~선유도 인근~KBS견학홀 인근~여의나루역수상택시 인근~대방역 인근~노들섬 인근~국립현충원 인근","공원조성이 잘되어있고, 인근 주거지역이 많아 주민들이 산책하는 길로 많이 이용한다. <br />  <div class='table_css'> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2' scope='col' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='5' class='end'>영등포동작한강길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>7.3</td> 		  <td>2시간 10분</td> 		  <td>나이아가라호텔 인근(선유도역)~여의나루역 인근(여의나루역)</td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>3.16</td> 		  <td>50분</td> 		  <td>여의나루역 인근(여의나루역)~대방역 인근</td> 	</tr> 	<tr> 	 	  <td>3</td> 		  <td>4.78</td> 		  <td>1시간 20분</td> 		  <td>대방역 인근~동작역 인근</td> 	</tr> 	<tr> 	 	  <td>여의도 순환 코스</td> 		  <td>8</td> 		  <td>2시간 30분</td> 		  <td> </td> 	</tr>  	 </table> </div> ","영등포동작구한강길","한강지천길/계절길","강남권","초급"
"27","용산구,중구","8.45Km","3시간","0","5호선,중앙선","","","진입로 1 : 마포역 지하철 5호선 4번 출구<br /> 진입로 2 : 서빙고역 지하철 중앙선<br /> 진입로 3 : 한남역 지하철 중앙선<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","마포대교 원효대교 인근~한강시민공원 이촌지구 인근~동작대교 인근~서빙고역 반포대교 인근~한남역 인근","한강시민공원 이촌지구를 따라 걷는 한강 수변 길로 넓게 펼쳐진 한강과 아름다운 공원에  지루할 틈 없는 코스","용산한강길","한강지천길/계절길","강북권","초급"
"28","강북구,도봉구","7.94Km","2시간","0","1호선,4호선,6호선","","","진입로 1 : 석계역 지하철 1, 6호선 1번 출구<br /> 진입로 2 : 수유역 지하철 4호선 8번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.  ","서울선곡초등학교 인근~롯데캐슬루나아파트 인근~번2동주민센터 인근~우이제3교 인근~창동태영데시앙아파트 인근~강북중학교 인근~우암빌라 인근","우이천을 따라 난 길로 도봉구 창제동에서 노원구 월계동에 이르는 폭10~15m의 보조간선급 소로임","우이천길","한강지천길/계절길","강북권","초급"
"29","동대문구","3.57Km","1시간","0","1호선,6호선","","","진입로 1 : 제기동역 지하철 1호선 4, 5번 출구<br /> 진입로 2(경로 끝 부근) : 월곡역(동덕여대) 지하철 6호선<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","제기로9길 인근~고산자로58길 인근~코업스타클래스 인근","성북구 정릉동 삼각산 계곡에서 발원하여 동대문구 신설동과 용두동 사이를 통과 청계천으로 흘러 들어가 다시 중랑천과 한강으로 합류","정릉천길","한강지천길/계절길","강북권","초급"
"30","노원구","20.74Km","6시간","0","1호선,5호선,6호선,7호선,중앙선","","","진입로 1 : 도봉산역 지하철 1, 7호선 2번 출구<br />  진입로 2 : 수락산역 지하철 7호선<br /> 진입로 3 : 월계역 지하철 1호선 2번 출구<br /> 진입로 4 : 석계역 지하철 1, 6호선 3번 출구<br /> 진입로 5 : 중랑역 지하철 경의선 1번 출구<br /> 진입로 6 : 군자역 지하철 5, 6호선 1번 출구<br /> 진입로 7 : 응봉역 지하철 중앙선 2번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","도봉주공1단지 인근~성균관대도봉선수촌 인근~방학동삼성래미안아파트 인근~창동주공19단지아파트 인근~초안산근린공원 인근~월계삼호4차아파트 인근~두산아파트 석계초등학교 인근~일신강변아파트 인근~동국대사대부속중학교 인근~현대홈타운아파트 인근~성동세무서 인근~응봉역 인근","경기도 양주시에서 발원하여 의정부를 지나 남류하여 한강으로 흘러드는 하천을 따라 산책로로 이용. <br />  <div class='table_css'> <table  cellpadding='0' cellspacing='0' width='100%' summary='세부코스정보 관련 테이블 입니다.' class='table_sub mar_tp20'> <caption>※ 세부코스</caption> 	<tr> 		  <th colspan='2'  scope='col' class='end'>세부코스</th> 		  <th scope='col'>거리(km)</th> 		  <th scope='col'>소요시간</th> 		  <th scope='col'>비고</th> 	  </tr> 	<tr> 		<td rowspan='5'  class='end'>중랑천길</td> 	</tr> 	<tr> 		  <td>1</td> 		  <td>5.92</td> 		  <td>1시간 40분</td> 		  <td>도봉산역, 수락산역 인근~월계역 인근 </td> 	</tr> 	<tr> 	 	  <td>2</td> 		  <td>5.1</td> 		  <td>1시간 30분</td> 		  <td>월계역 인근~중랑역 인근</td> 	</tr> 	<tr> 	 	  <td>3</td> 		  <td>4.1</td> 		  <td>1시간 10분</td> 		  <td>중랑역 인근~군자역 인근</td> 	</tr> 	<tr> 	 	  <td>4</td> 		  <td>5.62</td> 		  <td>1시간 40분</td> 		  <td>군자역 인근~응봉역 인근</td> 	</tr> 	 </table> </div>","중랑천길","한강지천길/계절길","강북권","초급"
"31","용산구,중구","8.13Km","2시간","0","1호선,2호선","","","진입로 1 : 종각역 지하철 1호선 5번 출구<br /> 진입로 2 : 을지로입구역 지하철 2호선 3번 출구<br /> 진입로 3 : 한양대역 지하철 2호선 3번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","청계광장 인근~청계2가 인근~청계3가 인근~방산종합상가A동 인근~청평화시장 인근~롯데캐슬 베네치아 아파트 인근","서울의 한복판인 종로구와 중구와의 경계를 잇는 하천으로 다양한 행사와 공연이 펼쳐짐","청계천길","한강지천길/계절길","강북권","초급"
"32","","7.14Km","2시간","0","2호선,3호선,분당선","","","진입로 1 : 수서역 지하철 분당선, 3호선 3번 출구<br /> 진입로 2 : 삼성역 지하철 2호선 1번 출구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","송파자원순환공원 인근~서울메트로 수서차량사업소 인근~강남주민 편의시설 인근~잠실 우성아파트 인근~잠실종합운동장 인근","송파와 강남 사이에 흐르는 한강 지류로 다양한 운동기구와 정돈된 산책코스 조성으로 인근주민들이 자주 이용한다","탄천길","한강지천길/계절길","강남권","초급"
