"순번","자치구","거리","소요시간","추천수","연계지하철역","연계코스","연계공원","교통편","상세코스","설명","코스명","코스대분류","강남강북구분","코스레벨"
"12","중구,중랑구","9.17km","3시간","0","1호선,3호선,4호선","","","진입로 1 : 서울역 지하철 1, 4호선 11번 출구 <br />    진입로 2 : 충무로역 지하철 3, 4호선 4번 출구 <br />    진입로 3 : 도보진입 <br />    진입로 4 : 명동입구 버스 정류장(02-149) 간선버스 104, 463, 604, 507, 421, 지선버스 7011, 순환버스 05, 90s투어  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 남산도서관앞~N서울타워~남산공원~와룡묘"," 그 옛날 이 정도 석성을 쌓으려면 도대체 얼마나 많은 인력과 시간이 필요했을까? 하는 의문을 품게 만드는 성곽길로 코스를 시작한다. 서울성곽에 나 있는 길 중에서도 가장 걷기 편한 구간이 바로 이 길의 시작이다. 이후 걷게 되는 남산북측순환산책로는 남산 산책로 중의 으뜸이라 중언부언할 필요가 없을 정도이다. 좋은 길만 엮어 놓았으니 기분 좋게 발걸음 떼는 일만 남았다. <br />※가을에는 곱게 물든 단풍이 장관을 이룬다. 코스 중간에 있는 N서울타워는 각종 공연과 문화 행사 등 볼거리를 제공하고, 사랑의 열쇠탑은 연인들이 사람을 확인하고 맹세하기 위해 많이 찾는 명소이기도 하다.","남산 순환 나들길","생태문화길","강북권","중급"
"13","용산구,중구","2.29km","1시간","0","6호선","","","진입로 1 : 한강진역 지하철 6호선 1번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.  "," 라틴아메리카 공원~야생화 공원~ 팔도소나무 단지"," 남산식물원은 서울시 중구 남산에 있던 식물원으로 1968년 개원하여 2006년까지 운영되었다. 2009년부터 노후화된 시설을 철거하고 실개천, 휴게공간 조성 및  녹지공간 복원 등을하여 2010년말 새롭게 개장했다. 숲길이 잘 정비되어 있고 다양한 식물들이 풍성해 보행자들에게 산책의 묘미를 느끼게 해주는 코스이다.","남산야외식물원 산책길","생태문화길","강북권","초급"
"14","양천구","0.59km","30분","0","9호선","","","진입로 1 : 염창역 지하철 9호선 4번 출입구 <br />    진입로 2 ~ 4 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 진입마당~생태연못~야생초화원~달맞이언덕~아카시아나무 숲길~전망데크~숲속길~보호초식물화원"," 달마을근린공원은 양천구가 2009년 7월 생태공원으로 재조성한 곳이다. 순환산책로 730m를 만들고 진입광장과 출입구 5곳을 새로 꾸몄으며 정자 1곳과 공원 전체조망이 가능한 전망데크, 야외 체육시설도 설치했다. 또 아카시나무가 주를 이뤘던 산에 팥배나무 등 30종 3만 1000주의 나무를 심었으며, 물억새 등 초화류 및 수생식물 30종 12만 2500여본을 심어 생태적으로 건강한 주민휴식처로 변모했다.","달마을공원 산책길","생태문화길","강남권","초급"
"15","강남구","4.80km","3시간","0","3호선","","","진입로 1 : 도보접근(서울로봇고등학교 앞) <br /> -일원역 지하철 3호선 5번 출구에서 도보로 이동(약 500m) 서울로봇고등학교로 갈 수 있다 <br />      진입로 2 : 세곡2보금자리 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. "," 실로암 약수터~대모산 초소위~독도모형~대모산 정상"," 코스 대부분이 숲길이며, 대모산은 해발 293m의 야트막한 산으로 서쪽의 구룡산과 능선을 나란히 하고 있어 연결하여 많은 사람들이 걷는다. 예전에는 국수봉이라고 불렸던 산으로 인근에 아파트단지들이 많이 들어서 주민들의 휴식공간으로 이용되고 있다. 아침 운동이나 가벼운 산책을 즐기려는 주민들이 많이 찾는다. 동쪽 끝은 수서역 4번 출구와 맞닿아 있다.","대모산 나들길","생태문화길","강남권","중급"
"16","용산구,중구","6.02km","2시간","0","1호선,2호선","","","진입로 1 : 시청역 지하철 1, 2호선 10번 출구 <br /> 진입로 2 : 서울신문사 버스 정류장(02-137) 간선버스 101, 150, 402, 501, 506, 405 지선버스 1711, 7016 순환버스 91s투어 <br /> 진입로 3 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 덕수궁 돌담길~대한문~경운궁 양이재~홍화문~정동공원"," 옛 정취가 그대로 살아있는 높다란 돌담길을 걷다 정동극장, 구러시아공사관, 서울의 역사가 고스란히 담긴 서울 역사박물관 등을 거치며 다양한 볼거리와 배울거리를 만나는 서울 도심의 보석 같은 코스","덕수궁 산책길","생태문화길","강북권","초급"
"17","종로구","8.60km","3시간30분","0","3호선","","","진입로 1 : 도보진입  <br />    진입로 2 : 경복궁역 지하철 3호선 5번 출입구 <br />   진입로 3 : 종로4가종묘 버스 정류장(01-195) 간선버스 201,260,262,270,271,370,720,721,N10,N26 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.            "," 경복궁~국립민속박물관~종로문화원~창덕궁~창경궁~종묘"," 서울의 대표적인 궁궐 세 곳과 종묘를 걷는 코스다. 조선의 정궁인 경복궁에서 시작해 조선궁궐의 원형이 잘 보존된 창덕궁과 그 후원인 비원을 거쳐 창경궁을 거닌 후, 역대 왕과 왕비들의 신위를 모신 종묘에서 걷기를 마무리한다. 걷는 거리는 10㎞가 채 안되지만 아름다운 전각과 연못들을 감상하다보면 걷는 시간은 생각 이상으로 오래 걸릴 수밖에 없다. <br />    ※궁궐 관람시간 및 이용정보는 문화재청(1600-0064)로 문의","도심고궁 나들길","생태문화길","강북권","중급"
"18","서대문구","3.80km","2시간","0","3호선","","","진입로 1 : 독립문역 지하철 3호선 4번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.     "," 서대문 독립공원~안산조망대~안산초화원 포장 산책로"," 옛 서울의 서쪽 관문인 독립문사거리 옆, 독립공원엔 일제강점기 아픈 역사의 흔적을 고스란히 재현해 놓은 서대문 형무소가 있고, 그 뒤로는 안산의 한적한 숲길과 산책로가 조성된 코스이다. 낮지만 웅장한 안산, 그 안산이 내어준 도시자연공원의 한적한 숲길과 독립공원을 한데 엮은 서대문 산책은 발로만 느끼기에는 보고 생각할 일이 너무도 많다.","독립공원안산 나들길","생태문화길","강북권","중급"
"19","관악구,금천구","5.61km","3시간","0","","","","진입로 1 : 독산고등학교 버스 정류장(18-200) 지선버스 5525,5616 <br /> 진입로 2 : 뉴서울아파트 버스 정류장(21-509) 마을버스 관악10 <br /> 진입로 3 : 우림시장,난곡보건분소 버스 정류장(21-214) 간선버스 506, 지선버스 5522B호암,5523,5524,5615,5616 <br /> 진입로 4 : 흥일초등학교앞 버스 정류장(18-740) 지선버스 5621 <br /> 진입로 5~8 : 도보진입 <br /> 진입로 9 : 구민문화체육센터 버스정류장 마을버스 금천08(지하철 1호선 독산역 1번 출구 맞은편에서 탑승 가능) <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.","감로천생태공원~금천전망대~산림감시초소~호압사입구 사거리"," 노후시설을 정비하여 누구나 안전하고 편안하게 걸을 수 있도록 조성되어 있다. 특히 만수천 생태연못과 감로천 생태공원, 야생초화원 등으로 구성되어 다양한 식생과 많은 볼거리를 가지고 있다. <br /> ※봄이면 야생초화원의 싱그러운 봄 향기를 온몸으로 느낄 수 있다. 금천정 전망대에서 보는 조망도 좋고, 금천체육공원에는 숲속 도서관이 있어 책을 빌려 숲속에서 읽거나 도서관에서 여러 프로그램을 체험할 수도 있다.","독산ㆍ삼성산 나들길","생태문화길","강남권","초급"
"20","동작구","2.80km","1시간30분","0","9호선","","","진입로 1 : 노들역 지하철 9호선 4번출입구 <br />      진입로 2 : 상도터널본동 버스 정류장(20-157) 간선버스 501,506,750A,750B,752 <br />      진입로 3 ~ 7 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.                 "," 노량진근린공원입구~고구동산조명명소~서달산자연생태탐방로~달마사"," 편안한 등산로와 노량진 근린공원이 있어 인근 주민들이 많이 이용한다.      (동작구 전체를 아우르는 코스로 7개의 코스로 구분됨.)","동작충효길(1코스_고구동산길)","생태문화길","강남권","중급"
"21","동작구","2.50Km","1시간","0","4호선,7호선","","","진입로 1 : 삼성래미안.롯데캐슬 버스 정류장 동작 마을버스 07, 16 <br /> - 지하철 4, 7호선 이수역 10번 출구에서 마을버스 동작16 탑승<br />      진입로 2 : 도보진입 <br />      진입로 3 : 정금마을 버스 정류장 동작 마을버스 07 <br /> - 지하철 4, 7호선 이수역 2번 출구에서 마을버스 동작07 탑승<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.                 "," 국립현충원입구~사당출입문~서달산산책로"," 현충원 인근 산길을 걸을 수 있는 코스이며, 낮은 산으로 산책에 부담이 없고 바로 옆 현충원과 통해 볼거리와 휴식처를 제공하고 있다.       (동작구 전체를 아우르는 코스로 7개의 코스로 구분)","동작충효길(2코스_현충원길)","생태문화길","강남권","중급"
"22","동작구","3.96km","2시간","0","1호선,4호선,9호선","","","진입로 1 : 노량진역 지하철 1호선 1번 출입구 <br />    진입로 2 : 노들역 지하철 9호선 2번 출입구 <br />    진입로 3 : 동작역 지하철 4, 9호선 2번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.             "," 사육신공원입구~노량진배수지시민공원~효시정"," 한강을 따라 걸을 수 있는 구간으로 사람들이 이용이 많다. 인근 뚝섬과도 연결이 되어있어 가족이나 연인들의 데이트 코스로도 좋다.    (동작구 전체를 아우르는 코스로 7개의 코스로 구분)","동작충효길(3코스_한강나들길)","생태문화길","강남권","중급"
"23","동작구","3.73km","1시간30분","0","1호선,9호선","","","진입로 1 : 지하철 1호선 노량진역 2번 출입구 <br />  진입로 2 ~ 4: 도보 진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 노량진수산시장~대방e편한세상~노량진 근린공원~무장애 등산로"," 노량진 수산시장을 지나 노량진근린공원, 무장애 등산로등 다양한 볼거리가 있다.    (동작구 전체를 아우르는 코스로 7개의 코스로 구분)","동작충효길(4코스_노량진길)","생태문화길","강남권","중급"
"24","동작구","2.50km","1시간30분","0","7호선","","","진입로 1 : 보라매역 지하철 7호선 6번 출입구 <br />    진입로 2 : 신대방삼거리역 지하철 7호선 5번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 보라매e편한세상아파트~보라매삼성아파트~동작구민회관"," 접근성이 좋고, 보라매공원 이용객, 아파트주민들과 인근 거주하고 있는 주민들이 많이 이용하고 있다.    (동작구 전체를 아우르는 코스로 7개의 코스로 구분)  ","동작충효길(5코스_보라매길)","생태문화길","강남권","중급"
"25","동작구","4.58km","2시간","0","7호선","","","진입로 1 : 신대방삼거리역 지하철 7호선 2번 출입구 <br />    진입로 2 : 숭실대입구역 지하철 7호선 1번 출입구 <br />    진입로 2 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.           "," 청운종합복지원~동작관악적십자봉사관~상현중학교"," 진입로가 많이 있고 버스정류장이나 아파트가 많이 있어 주민들이 산책하기 좋은 코스이다.    (동작구 전체를 아우르는 코스로 7개의 코스로 구분)","동작충효길(6코스_동작마루길)","생태문화길","강남권","중급"
"26","동작구","3.53km","1시간30분","0","2호선,4호선,7호선","","","진입로 1 : 사당역 지하철 2, 4호선 6번 출입구 <br />    진입로 2 : 남성역 지하철 7호선 2번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 서울시립남서울미술관~생태통로~경로당, 어린이놀이터~북카페"," 야트막한 산으로 인근 주민들이 자주 찾는 코스이며, 접근성이 좋고 산책과 등산을 모두 할 수 있는 코스이다. 까치산에는 약 2.2㎞에 걸쳐 진초록 흙길이 열린다. 중간에 찻길로 끊긴 곳은 생태육교가 연결되어 자연스럽게 발길을 이어갈 수 있다. 다양한 활엽수가 길옆으로 도열하며, 곳곳에 생활체육시설과 쉼터가 놓여 있다.    (동작구 전체를 아우르는 코스로 7개의 코스로 구분)","동작충효길(7코스_까치산길)","생태문화길","강남권","초급"
"27","중랑구","5.51km","2시간30분","0","","","","진입로 1 : 용마문화복지센터 버스 정류장(07-195) 간선버스 271, 지선버스 1213, 2013, 2230<br /> - 지하철 7호선 면목역 2번 출구 지하철7호선면목역 버스 정류장(07-228)에서 지선버스 1213, 2013 탑승 가능 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 전망대~망우사색의 길"," 망우리 묘지 이장지역을 생태적으로 복원하여 사계절 즐길 수 있는 공원으로 조성하였다. 묘역을 끼고 있어 왠지 오싹한 느낌이 들 것 같지만 막상 공원에 들어서면 무덤들이 울창한 숲에 가려져 보이지 않아 자연의 여유로움을 만끽할 수 있다. 산책 중간에 박인환 시인의 묘소에 들러 “목마와 숙녀”를 음미할 수 있으며, 주변 곳곳에 있는 어린이 운동의 효시인 방정환, 민족대표 33인 중 오세창, 한용운 선생 등 연보비 앞에서 잠깐 걸음을 멈추고 역사를 음미하는 시간을 갖는 것도 좋을 것 같다. ","망우산숲나들길","생태문화길","강북권","중급"
"28","송파구","3.67km","3시간","0","5호선,8호선","","","진입로 1 : 몽촌토성역 지하철 8호선 1번출입구 <br />    진입로 2 : 올림픽공원남2문 버스 정류장(24-240) 일반 30, 30-5 지선버스 3412, 3413 <br />    진입로 3 : 도보접근 <br />    진입로 4 : 올림픽공원역 지하철 5호선 1번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.","몽촌토성~한성백제박물관~몽촌토성길~88호수"," 도시공원의 의미는 자연휴식공간이라는 데 있다. 아울러 산책로를 만들어 도시민들이 걷고 뛰며 운동할 수 있도록 하는 목적도 지녔다. 강남권 도심, 잠실 주변엔 거대한 녹지공원인 올림픽공원이 있다. 특히 석촌호수에서 가까운 올림픽공원 산책로는 백제 때 축조된 몽촌토성까지 품고 있으며 2012년에는 몽촌토성에서 찾을 수 있는 백제의 역사를 알려주는 한성백제 박물관도 개관하여 더욱 볼거리가 풍부해졌다. (‘Free course' 로 자유롭게 다닐 수 있도록 조성)","몽촌토성 나들길","생태문화길","강남권","중급"
"29","동대문구","3.51km","2시간","0","1호선,중앙선","","","진입로 1 : 시립대입구 버스 정류장 마을 동대문05 <br />    진입로 2 : 답십리2동한양아파트앞 버스 정류장(06-228) 간선 262, 지선 2112, 3220 <br />    진입로 3 : 배봉초등학교앞 버스 정류장(06-210) 지선 2015, 2233, 2311, 2230  <br />    진입로 4 : 도보진입 <br /> - 지하철 1호선, 중앙선 회기역 2번 출구에서 삼육병원으로 이동 배봉산근린공원입구로 진입(약 800m)<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 배봉산 출입구~답십리 근린공원~배봉산근린공원 진입"," 동대문구에서 조성한 녹지순환산책로를 접근이 용이하도록 재구성한 코스이다. 따라서 배봉산근린공원이 그 중심을 이룬다. 배봉산근린공원은 산이 부족한 동대문구의 보조 산소통이다. 배봉산은 동대문구 전농동에 있는 표고 110m의 산이다. 배봉산이라는 이름은 조선조 영조때 사도세자가 당쟁에 의해 죽은 뒤 이곳에 장례를 지냈는데, 사도세자의 아들인 정조가 평생에 못다한 불효를 속죄한다며 날마다 부친의 묘소를 향해 배례를 하면서 산이름이 배봉산(拜峰山)으로 불려졌다. 서울시립대학교가 위치해 있으며, 조선시대 영우원과 휘경원 등 왕실 묘원이 마련되어 있었으며, 목마장의 울타리가 지났던 곳이다.<br /> ※배봉산은 작은 동산이라 누구나 쉽게 오를 수 있고 능선도 완만하게 이어져 시민들에게 사랑받는 산책로이다. 높은 산처럼 조망이 좋지는 않지만 우거진 나무들 덕에 가을에는 낙엽을 밟으며 가을을 몸으로 느낄 수 있다.","배봉산 답십리 나들길","생태문화길","강북권","중급"
"30","서대문구","5.09km","3시간","0","3호선","","","진입로 1 : 홍은동 동부센트레빌 버스 정류장(13-122) 일반 567 지선버스 7720<br /> 진입로 2 : 백련사 버스 정류장 마을버스 서대문10 <br />  - 지하철 3호선 홍제역 3번 출구에서 탑승 가능<br /> 진입로 3 : 팔각정 버스 정류장 마을버스 서대문10 <br />  - 지하철 3호선 홍제역 3번 출구에서 탑승 가능<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 소공원~은평정"," 숲 속에 들어앉아선 숲을 바라볼 수 없다. 같은 이치로 북한산(836m)을 품에 안으려면 백련산(215m)에 올라야 한다. 백련산은 북한산 반의 반 높이에서도 그 장대함을 한 눈에 담아낼 뿐만 아니라 유순한 산길을 따라 한달음에 능선길이 도달하고 두 걸음에 북한산 조망점에 닿는다.<br /> ※2014년 ‘G마켓, 생명의숲이 함께하는 초록숲길 만들기'사업 대상으로 노선 전체에 초록숲길 안내표지판 설치  ","백련산 나들길(초록숲길)","생태문화길","강북권","중급"
"31","종로구","3.06km","2시간","0","3호선","","","진입로 1 : 도보진입 <br /> 진입로 2 : 세검정 상명대 버스 정류장(01-143) 간선버스 110A, 153 지선버스 1020, 7730  <br /> 진입로 3 : 자하문고개 윤동주시인의언덕 버스 정류장(01-107) 지선버스 7212, 1020, 7022 <br /> - 경복궁역 지하철 3호선 3번 출구에서 약 150m이동 경복궁역 버스정류장(01-116)에서 탑승가능 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 현통사~백사실계곡~북악산스카이웨이2교~북악산길 산책로"," 돈, 시간, 거리 때문에 여행을 못하시는 분들은 도심 속의 숨은 보석지를 교통카드 한 장을 지참하여 산행할 수 있는 곳이 백사실 두메길이다. 경치가 아주 뛰어난 곳에 붙이는 곳으로 백석동천 이곳을 말한다. 조선 세도가의 별장이 있었던 연못과 버들치 및 원앙, 무당개구리가 서식하는 생태경관보전지역으로 생태탐방의 기회를 얻을 수 있는 곳이다. ","백사실두메 나들길","생태문화길","강북권","중급"
"32","동작구","1.63km","1시간","0","2호선","","","진입로 1 : 도보접근(보라매공원 남문, 신대방역 지하철 2호선 4번 출구) <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.","보라매공원 호수~인공암벽등반장~보라매공원 후문"," 보라매공원은 서울특별시 동작구 신대방동 395번지 대방로 219 일대인 옛날 공군사관학교 자리를 1985년 12월 20일에 보수하여 1986년 5월 5일 개원하였다. 공군사관학교 때의 상징인 '보라매'를 그대로 이름에 사용하여 오늘에 이르고 있으며, 공원을 산책하는 코스이다.","보라매공원 산책길","생태문화길","강남권","초급"
"33","강서구","2.61km","1시간30분","0","2호선,5호선,9호선","","","진입로 1 : 미주아파트 버스 정류장(16-471) 마을버스 강서03 <br /> 진입로 2~12 : 도보진입 <br /> 진입로 13 : 까치산역 지하철 2, 5호선 1번 출입구 <br /> 진입로 14 : 등촌역 지하철 9호선 8번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 담소터~봉제산배드민턴장~등서초등학교운동장~등촌중학교후문길"," 능선을 따라 걷기 좋은 숲길이 뻗은 봉제산은 산을 위에서 내려다보면 마치 봉황새가 알을 품고 있는 형국이라는 것에서 이름을 얻었다. 산 정상인 매봉은 백제시절에 봉화터였던 까닭에 아직도 봉화터, 봉수대라는 호칭을 사용한다. 해발 117m에 약 1만㎡인 봉제산은 산을 빙 둘러싸고 주택가가 형성되어 있어 찾는 이들도 많고, 진입도 어느 쪽에서나 가능하다. 주능선과 가지능선으로 걷기 편한 산책로가 뻗었으며, 각 능선의 중턱으로도 실핏줄 같은 숲길이 자글자글하다.","봉제산 숲 나들길","생태문화길","강남권","초급"
